final,question,evidence,page,word,sentence,weight
False,76,"{'confidence': -0.008209504049333334, 'final': False}",Psychotherapy,17,1,-0.01
True,76,"{'confidence': -0.0001723753291, 'final': True}",Psychotherapy,18,1,-0.00
True,76,"{'confidence': -4.102530466666666e-06, 'final': True}",Psychotherapy,7,2,-0.00
True,76,"{'confidence': -1.2813771999999998e-06, 'final': True}",Psychotherapy,14,2,-0.00
True,76,"{'confidence': -8.045625333333334e-07, 'final': True}",Psychotherapy,21,2,-0.00
True,76,"{'confidence': -4.0627961e-06, 'final': True}",Psychotherapy,24,2,-0.00
True,76,"{'confidence': -1.4400666666666668e-07, 'final': True}",Psychotherapy,5,3,-0.00
True,76,"{'confidence': -4.97669055e-06, 'final': True}",Psychotherapy,10,3,-0.00
True,76,"{'confidence': -1.917130133333333e-06, 'final': True}",Psychotherapy,17,3,-0.00
True,76,"{'confidence': -2.8801333333333337e-07, 'final': True}",Psychotherapy,19,3,-0.00
True,76,"{'confidence': -1.3211117166666665e-06, 'final': True}",Psychotherapy,7,4,-0.00
True,76,"{'confidence': -2.273803588333333e-05, 'final': True}",Psychotherapy,13,4,-0.00
True,76,"{'confidence': -6.645541883333333e-06, 'final': True}",Psychotherapy,16,4,-0.00
True,76,"{'confidence': -6.645541883333333e-06, 'final': True}",Psychotherapy,16,4,-0.00
False,77,"{'confidence': -0.10914108695713333, 'final': False}",The Thinker,7,0,-0.11
False,77,"{'confidence': -0.289584964, 'final': False}",Jane Jacobs,12,0,-0.29
False,77,"{'confidence': -0.17240803610150002, 'final': False}",Jane Jacobs,19,0,-0.17
False,77,"{'confidence': -0.5123060858953333, 'final': False}",Jacob Riis,6,1,-0.51
False,77,"{'confidence': -0.39419858043843337, 'final': False}",Jacob Riis,11,1,-0.39
False,77,"{'confidence': -0.593784785691, 'final': False}",Alfred Marshall,17,1,-0.59
True,77,"{'confidence': -0.0007883212676422222, 'final': True}",W. E. B. Du Bois,23,1,-0.00
True,77,"{'confidence': -9.907994553333332e-05, 'final': True}",W. E. B. Du Bois,28,1,-0.00
True,77,"{'confidence': -0.00066342516392, 'final': True}",W. E. B. Du Bois,5,2,-0.00
True,77,"{'confidence': -0.00014485742281111113, 'final': True}",W. E. B. Du Bois,10,2,-0.00
True,77,"{'confidence': -8.527697381111111e-05, 'final': True}",W. E. B. Du Bois,15,2,-0.00
True,77,"{'confidence': -0.00010181878270888889, 'final': True}",W. E. B. Du Bois,20,2,-0.00
True,77,"{'confidence': -3.914270551111111e-05, 'final': True}",W. E. B. Du Bois,22,2,-0.00
True,77,"{'confidence': -1.0976608475555553e-05, 'final': True}",W. E. B. Du Bois,7,3,-0.00
True,77,"{'confidence': -6.738255851111112e-06, 'final': True}",W. E. B. Du Bois,11,3,-0.00
True,77,"{'confidence': -1.541610926222222e-05, 'final': True}",W. E. B. Du Bois,6,4,-0.00
True,77,"{'confidence': -3.0479195533333335e-06, 'final': True}",W. E. B. Du Bois,7,4,-0.00
True,77,"{'confidence': -2.870759288888889e-06, 'final': True}",W. E. B. Du Bois,6,5,-0.00
True,77,"{'confidence': -2.2035395866666666e-06, 'final': True}",W. E. B. Du Bois,13,5,-0.00
True,77,"{'confidence': -2.2035395866666666e-06, 'final': True}",W. E. B. Du Bois,13,5,-0.00
False,78,"{'confidence': -1.0367682600000001e-05, 'final': False}",Blue field entoptic phenomenon,8,0,-0.00
False,78,"{'confidence': -0.039841985842126004, 'final': False}",Cognitive dissonance,12,0,-0.04
True,78,"{'confidence': -3.4071294055999995e-05, 'final': True}",Cognitive dissonance,18,0,-0.00
False,78,"{'confidence': -0.265648573, 'final': False}",Gift registry,22,0,-0.27
False,78,"{'confidence': -0.18173028941333336, 'final': False}",Endowment effect,6,1,-0.18
True,78,"{'confidence': -3.78415676e-07, 'final': True}",Cognitive dissonance,12,1,-0.00
True,78,"{'confidence': -7.1218593e-07, 'final': True}",Cognitive dissonance,17,1,-0.00
True,78,"{'confidence': -1.09363765e-06, 'final': True}",Cognitive dissonance,5,2,-0.00
True,78,"{'confidence': -0.00021083342150000003, 'final': True}",Cognitive dissonance,13,2,-0.00
True,78,"{'confidence': -0.0005091228513300001, 'final': True}",Cognitive dissonance,18,2,-0.00
True,78,"{'confidence': -6.65760654e-05, 'final': True}",Cognitive dissonance,26,2,-0.00
True,78,"{'confidence': -4.2609712799999994e-07, 'final': True}",Cognitive dissonance,34,2,-0.00
True,78,"{'confidence': -6.0786406e-07, 'final': True}",Cognitive dissonance,6,3,-0.00
True,78,"{'confidence': -6.4066374e-07, 'final': True}",Cognitive dissonance,12,3,-0.00
True,78,"{'confidence': -0.0001985754116, 'final': True}",Cognitive dissonance,18,3,-0.00
True,78,"{'confidence': -0.0007007177577199999, 'final': True}",Cognitive dissonance,19,3,-0.00
True,78,"{'confidence': -0.00011545962940000001, 'final': True}",Cognitive dissonance,6,4,-0.00
True,78,"{'confidence': -1.9316917059999997e-05, 'final': True}",Cognitive dissonance,13,4,-0.00
True,78,"{'confidence': -0.00011546481978, 'final': True}",Cognitive dissonance,16,4,-0.00
True,78,"{'confidence': -0.00011546481978, 'final': True}",Cognitive dissonance,16,4,-0.00
