word,final,weight,page,sentence,evidence,question
20,True,-0.00,Lake Champlain,3,"{'confidence': -2.7308176666666666e-07, 'final': True}",9
7,True,-0.00,Lake Champlain,4,"{'confidence': -3.6748243333333334e-07, 'final': True}",9
11,True,-0.00,Lake Champlain,4,"{'confidence': -2.4827877666666666e-07, 'final': True}",9
11,True,-0.00,Lake Champlain,4,"{'confidence': -2.4827877666666666e-07, 'final': True}",9
7,False,-0.00,Amazons,0,"{'confidence': -8.16546e-05, 'final': False}",10
14,False,-0.01,Apache,0,"{'confidence': -0.014445778, 'final': False}",10
18,False,-0.00,Apache,0,"{'confidence': -0.0033025972, 'final': False}",10
7,True,-0.00,Apache,1,"{'confidence': -0.0014320243, 'final': True}",10
12,True,-0.00,Apache,1,"{'confidence': -0.0025229843, 'final': True}",10
16,False,-0.01,Apache,1,"{'confidence': -0.011374948, 'final': False}",10
7,False,-0.02,Apache,2,"{'confidence': -0.016198944, 'final': False}",10
12,False,-0.00,Apache,2,"{'confidence': -0.003984247, 'final': False}",10
18,False,-0.02,Apache,2,"{'confidence': -0.022377852, 'final': False}",10
20,False,-0.04,Apache,2,"{'confidence': -0.043314647, 'final': False}",10
6,True,-0.00,Apache,3,"{'confidence': -0.0008644148, 'final': True}",10
13,True,-0.00,Apache,3,"{'confidence': -9.126521e-05, 'final': True}",10
18,True,-0.00,Apache,3,"{'confidence': -2.9352968e-06, 'final': True}",10
21,True,-0.00,Apache,3,"{'confidence': -4.1273333e-06, 'final': True}",10
7,True,-0.00,Apache,4,"{'confidence': -9.729906e-06, 'final': True}",10
12,True,-0.00,Apache,4,"{'confidence': -8.299462e-06, 'final': True}",10
16,True,-0.00,Apache,4,"{'confidence': -4.9617593e-06, 'final': True}",10
16,True,-0.00,Apache,4,"{'confidence': -4.9617593e-06, 'final': True}",10
7,False,-0.00,Wole Soyinka,0,"{'confidence': -0.0011907591525, 'final': False}",11
12,True,-0.00,Stephen Crane,0,"{'confidence': -3.237860015e-05, 'final': True}",11
18,True,-0.00,Ida B. Wells,0,"{'confidence': -2.1903112880000003e-06, 'final': True}",11
8,True,-0.00,Ida B. Wells,1,"{'confidence': -1.7850189399999997e-06, 'final': True}",11
12,True,-0.00,Ida B. Wells,1,"{'confidence': -1.1651598259999998e-06, 'final': True}",11
18,True,-0.00,Ida B. Wells,1,"{'confidence': -2.44330194e-07, 'final': True}",11
24,True,-0.00,Ida B. Wells,1,"{'confidence': -5.7810044e-07, 'final': True}",11
7,True,-0.00,Ida B. Wells,2,"{'confidence': -9.595521400000001e-07, 'final': True}",11
13,True,-0.00,Ida B. Wells,2,"{'confidence': -1.507889e-06, 'final': True}",11
20,True,-0.00,Ida B. Wells,2,"{'confidence': -1.17411878e-06, 'final': True}",11
25,True,-0.00,Ida B. Wells,2,"{'confidence': -1.15027802e-06, 'final': True}",11
30,True,-0.00,Ida B. Wells,2,"{'confidence': -6.25781906e-07, 'final': True}",11
31,True,-0.00,Ida B. Wells,2,"{'confidence': -8.075488400000001e-07, 'final': True}",11
7,True,-0.00,Ida B. Wells,3,"{'confidence': -9.029117499999999e-07, 'final': True}",11
11,True,-0.00,Ida B. Wells,3,"{'confidence': -1.17117223e-05, 'final': True}",11
18,True,-0.00,Ida B. Wells,3,"{'confidence': -0.00015391217273, 'final': True}",11
7,True,-0.00,Ida B. Wells,4,"{'confidence': -0.00064047799572, 'final': True}",11
13,False,-0.01,Ida B. Wells,4,"{'confidence': -0.01141155650412, 'final': False}",11
13,False,-0.01,Ida B. Wells,4,"{'confidence': -0.01141155650412, 'final': False}",11
7,False,-0.17,Thomas Fisher (judge),0,"{'confidence': -0.1744864939182, 'final': False}",12
13,False,-0.04,Immigration to the United States,0,"{'confidence': -0.04490706825544167, 'final': False}",12
19,False,-0.04,Immigration to the United States,0,"{'confidence': -0.040106884068066666, 'final': False}",12
20,False,-0.04,Immigration Act of 1891,0,"{'confidence': -0.03795786459292857, 'final': False}",12
6,False,-0.11,Japanese American internment,1,"{'confidence': -0.1083312760249, 'final': False}",12
11,False,-0.10,Japanese American internment,1,"{'confidence': -0.0982330064405, 'final': False}",12
15,True,-0.00,Japanese,1,"{'confidence': -6.3609965e-05, 'final': True}",12
6,False,-0.04,Japanese-Americans,2,"{'confidence': -0.043383168092349995, 'final': False}",12
13,False,-0.17,Japanese-Americans,2,"{'confidence': -0.17379280101, 'final': False}",12
5,False,-0.23,Japanese-Americans,3,"{'confidence': -0.231845950611825, 'final': False}",12
10,True,-0.00,Japanese,3,"{'confidence': -7.89631e-07, 'final': True}",12
17,True,-0.00,Japanese,3,"{'confidence': -1.9361265e-07, 'final': True}",12
21,True,-0.00,Japanese,3,"{'confidence': -4.3202e-07, 'final': True}",12
6,True,-0.00,Japanese,4,"{'confidence': -1.9361265e-07, 'final': True}",12
14,False,-0.20,Japanese people,4,"{'confidence': -0.20227498680632502, 'final': False}",12
16,True,-0.00,Japanese,4,"{'confidence': -7.89631e-07, 'final': True}",12
6,True,-0.00,Japanese,5,"{'confidence': -3.1281633e-07, 'final': True}",12
12,False,-0.04,Japanese people,5,"{'confidence': -0.0370261611475, 'final': False}",12
16,False,-0.16,Japanese people,5,"{'confidence': -0.159906571408165, 'final': False}",12
16,False,-0.16,Japanese people,5,"{'confidence': -0.159906571408165, 'final': False}",12
5,False,-0.00,Democratic-Republican Party,0,"{'confidence': -7.29880825e-05, 'final': False}",13
11,False,-0.03,New York (state),0,"{'confidence': -0.03477300545613, 'final': False}",13
16,False,-0.03,New York (state),0,"{'confidence': -0.026442646856307993, 'final': False}",13
8,True,-0.00,New York (state),1,"{'confidence': -0.001542837371, 'final': True}",13
13,False,-0.05,New York (state),1,"{'confidence': -0.05462668547502001, 'final': False}",13
16,True,-0.00,New York,1,"{'confidence': -1.32604745e-06, 'final': True}",13
7,False,-0.05,New York (state),2,"{'confidence': -0.04937092298706, 'final': False}",13
13,False,-0.02,New York (state),2,"{'confidence': -0.024617527830258, 'final': False}",13
18,False,-0.04,New York (state),2,"{'confidence': -0.042863214097116006, 'final': False}",13
19,False,-0.05,New York (state),2,"{'confidence': -0.05403980289346, 'final': False}",13
6,False,-0.00,New York (state),3,"{'confidence': -0.0039555180269759994, 'final': False}",13
11,True,-0.00,New York (state),3,"{'confidence': -0.00021784119992600005, 'final': True}",13
17,True,-0.00,New York (state),3,"{'confidence': -2.286614925e-05, 'final': True}",13
20,True,-0.00,New York (state),3,"{'confidence': -0.00017180781351399998, 'final': True}",13
6,True,-0.00,New York (state),4,"{'confidence': -0.00012386057361, 'final': True}",13
11,True,-0.00,New York (state),4,"{'confidence': -0.0016813544563960003, 'final': True}",13
15,True,-0.00,New York (state),4,"{'confidence': -0.0008570048159959999, 'final': True}",13
7,True,-0.00,New York (state),5,"{'confidence': -0.0002754750784, 'final': True}",13
12,True,-0.00,New York (state),5,"{'confidence': -8.750608269e-05, 'final': True}",13
12,True,-0.00,New York (state),5,"{'confidence': -8.750608269e-05, 'final': True}",13
7,False,-0.11,Clarence Darrow,0,"{'confidence': -0.11009958316791, 'final': False}",14
13,True,-0.00,Thurgood Marshall,0,"{'confidence': -6.53380425e-06, 'final': True}",14
17,True,-0.00,Thurgood Marshall,0,"{'confidence': -1.31496075e-05, 'final': True}",14
7,True,-0.00,Thurgood Marshall,1,"{'confidence': -2.5702823325e-06, 'final': True}",14
14,True,-0.00,Thurgood Marshall,1,"{'confidence': -2.9278933325e-06, 'final': True}",14
7,True,-0.00,Thurgood Marshall,2,"{'confidence': -2.3504773249999996e-06, 'final': True}",14
14,True,-0.00,Thurgood Marshall,2,"{'confidence': -1.9740775e-07, 'final': True}",14
19,True,-0.00,Thurgood Marshall,2,"{'confidence': -2.1601e-07, 'final': True}",14
22,True,-0.00,Thurgood Marshall,2,"{'confidence': -2.1600999500000002e-07, 'final': True}",14
8,True,-0.00,Thurgood Marshall,3,"{'confidence': -3.0541275e-07, 'final': True}",14
14,True,-0.00,Thurgood Marshall,3,"{'confidence': -1.862090825e-07, 'final': True}",14
20,True,-0.00,Thurgood Marshall,3,"{'confidence': -1.26607245e-07, 'final': True}",14
6,True,-0.00,Thurgood Marshall,4,"{'confidence': -1.26607245e-07, 'final': True}",14
12,True,-0.00,Thurgood Marshall,4,"{'confidence': -4.84031625e-08, 'final': True}",14
7,True,-0.00,Thurgood Marshall,5,"{'confidence': -9.6806325e-08, 'final': True}",14
11,True,-0.00,Thurgood Marshall,5,"{'confidence': -6.034219325e-07, 'final': True}",14
11,True,-0.00,Thurgood Marshall,5,"{'confidence': -6.034219325e-07, 'final': True}",14
8,False,-0.53,Al Gore,0,"{'confidence': -0.5252403215065, 'final': False}",15
13,False,-0.07,None,0,"{'confidence': -0.06864027, 'final': False}",15
16,False,-0.04,"United States presidential election, 1828",0,"{'confidence': -0.042966378673375, 'final': False}",15
7,False,-0.04,"United States presidential election, 1824",1,"{'confidence': -0.0379468700619625, 'final': False}",15
12,False,-0.20,Albert Gallatin,1,"{'confidence': -0.20373766447566663, 'final': False}",15
17,False,-0.12,"United States presidential election, 1824",1,"{'confidence': -0.1207263753299125, 'final': False}",15
6,False,-0.02,Election of 1824,2,"{'confidence': -0.02424268518231666, 'final': False}",15
11,False,-0.01,Election of 1824,2,"{'confidence': -0.006526575274999999, 'final': False}",15
17,True,-0.00,Election of 1824,2,"{'confidence': -0.0013264409111666666, 'final': True}",15
20,False,-0.03,Election of 1824,2,"{'confidence': -0.030123333648783335, 'final': False}",15
7,True,-0.00,"United States presidential election, 1824",3,"{'confidence': -0.00035274384226875, 'final': True}",15
13,True,-0.00,"United States presidential election, 1824",3,"{'confidence': -5.601691795e-05, 'final': True}",15
18,True,-0.00,"United States presidential election, 1824",3,"{'confidence': -0.00048177703258624996, 'final': True}",15
7,True,-0.00,"United States presidential election, 1824",4,"{'confidence': -0.00015869725514125, 'final': True}",15
12,True,-0.00,Election of 1824,4,"{'confidence': -0.0004547884084333334, 'final': True}",15
14,False,-0.05,"United States presidential election, 1824",4,"{'confidence': -0.053702160366247496, 'final': False}",15
7,False,-0.00,1824 United States presidential election,5,"{'confidence': -0.0034639790869383327, 'final': False}",15
13,True,-0.00,"United States presidential election, 1824",5,"{'confidence': -0.0006174358287662501, 'final': True}",15
15,True,-0.00,"United States presidential election, 1824",5,"{'confidence': -0.001793976886875, 'final': True}",15
15,True,-0.00,"United States presidential election, 1824",5,"{'confidence': -0.001793976886875, 'final': True}",15
6,False,-0.17,United Textile Workers,0,"{'confidence': -0.17460112804408248, 'final': False}",16
12,False,-0.18,United Textile Workers,0,"{'confidence': -0.17739508688166247, 'final': False}",16
17,False,-0.19,Textile Workers' Strike of 1934,0,"{'confidence': -0.19292378428518336, 'final': False}",16
6,False,-0.16,1922 United States railroad strike,1,"{'confidence': -0.16225166939, 'final': False}",16
12,False,-0.04,Pullman Strike,1,"{'confidence': -0.04212505616073334, 'final': False}",16
19,False,-0.05,1920s in the United States,1,"{'confidence': -0.05200600001447143, 'final': False}",16
8,True,-0.00,1920s,2,"{'confidence': -0.0009594384146666667, 'final': True}",16
14,True,-0.00,1920s,2,"{'confidence': -0.0004285550333333334, 'final': True}",16
19,True,-0.00,1920s,2,"{'confidence': -0.0004306676833333333, 'final': True}",16
24,True,-0.00,1920s,2,"{'confidence': -0.00015760751133333332, 'final': True}",16
9,True,-0.00,1920s,3,"{'confidence': -1.7175198776666667e-05, 'final': True}",16
16,False,-0.01,1920s,3,"{'confidence': -0.008160355666666666, 'final': False}",16
19,False,-0.07,1930s,3,"{'confidence': -0.07207113453755, 'final': False}",16
22,False,-0.17,1920s,3,"{'confidence': -0.16519693333333332, 'final': False}",16
6,True,-0.00,1920s,4,"{'confidence': -0.000264594, 'final': True}",16
13,True,-0.00,1920s,4,"{'confidence': -9.144301333333334e-05, 'final': True}",16
18,False,-0.06,1920s,4,"{'confidence': -0.05529211, 'final': False}",16
18,False,-0.06,1920s,4,"{'confidence': -0.05529211, 'final': False}",16
7,False,-0.00,Colony of Aden,0,"{'confidence': -0.00032724424840000003, 'final': False}",17
12,False,-0.01,Fort Caroline,0,"{'confidence': -0.006707879119, 'final': False}",17
18,False,-0.01,Fort Caroline,0,"{'confidence': -0.007628406366, 'final': False}",17
23,False,-0.31,Fort Caroline,0,"{'confidence': -0.30607802645395, 'final': False}",17
6,False,-0.02,Province of Carolina,1,"{'confidence': -0.021791542517, 'final': False}",17
12,False,-0.21,Colony of South Carolina,1,"{'confidence': -0.21193053107105997, 'final': False}",17
15,True,-0.00,Province of Carolina,1,"{'confidence': -0.0003703552483333334, 'final': True}",17
7,False,-0.03,Province of Carolina,2,"{'confidence': -0.027671870071000002, 'final': False}",17
12,False,-0.01,Province of Carolina,2,"{'confidence': -0.006322916997466667, 'final': False}",17
14,False,-0.17,Colony of Florida,2,"{'confidence': -0.16672636102725003, 'final': False}",17
7,False,-0.10,Province of Carolina,3,"{'confidence': -0.102064034616, 'final': False}",17
12,False,-0.04,Province of Carolina,3,"{'confidence': -0.035764688785333336, 'final': False}",17
14,False,-0.39,Spanish Florida,3,"{'confidence': -0.387856246806325, 'final': False}",17
7,False,-0.10,Florida,4,"{'confidence': -0.09590387, 'final': False}",17
11,False,-0.24,Spanish Florida,4,"{'confidence': -0.23598255, 'final': False}",17
6,False,-0.02,Spanish Florida,5,"{'confidence': -0.01893432, 'final': False}",17
11,False,-0.02,Spanish Florida,5,"{'confidence': -0.016334525, 'final': False}",17
14,False,-0.11,Province of Florida,5,"{'confidence': -0.10888290056211002, 'final': False}",17
7,False,-0.16,Spanish Florida,6,"{'confidence': -0.161110715, 'final': False}",17
11,False,-0.33,Spanish Florida,6,"{'confidence': -0.333877146806325, 'final': False}",17
12,False,-0.25,Spanish Florida,6,"{'confidence': -0.2545619, 'final': False}",17
12,False,-0.25,Spanish Florida,6,"{'confidence': -0.2545619, 'final': False}",17
5,False,-0.00,Gerald Ford,0,"{'confidence': -0.0010409130487666668, 'final': False}",18
11,False,-0.13,Warren Commission,0,"{'confidence': -0.12581953093333334, 'final': False}",18
16,False,-0.28,Richard Nixon,0,"{'confidence': -0.28435627198950003, 'final': False}",18
17,False,-0.01,Lyndon B. Johnson,0,"{'confidence': -0.00595389886406, 'final': False}",18
6,True,-0.00,Lyndon B. Johnson,1,"{'confidence': -5.4639243256e-05, 'final': True}",18
13,True,-0.00,Lyndon B. Johnson,1,"{'confidence': -0.0021616393418599994, 'final': True}",18
19,False,-0.05,Presidency of Richard Nixon,1,"{'confidence': -0.05134781817973999, 'final': False}",18
6,True,-0.00,Richard Nixon,2,"{'confidence': -0.00077320335, 'final': True}",18
14,True,-0.00,Richard Nixon,2,"{'confidence': -0.00045945877132499996, 'final': True}",18
18,True,-0.00,Richard Nixon,2,"{'confidence': -6.9171665e-05, 'final': True}",18
7,True,-0.00,Richard Nixon,3,"{'confidence': -2.8228871e-05, 'final': True}",18
13,True,-0.00,Richard Nixon,3,"{'confidence': -0.0001962712, 'final': True}",18
18,True,-0.00,Richard Nixon,3,"{'confidence': -0.00014000117632500001, 'final': True}",18
23,True,-0.00,Richard Nixon,3,"{'confidence': -1.3127210825e-05, 'final': True}",18
30,True,-0.00,Richard Nixon,3,"{'confidence': -2.9040898825e-05, 'final': True}",18
7,True,-0.00,Richard Nixon,4,"{'confidence': -8.120283e-07, 'final': True}",18
13,True,-0.00,Richard Nixon,4,"{'confidence': -4.5669435e-06, 'final': True}",18
19,True,-0.00,Richard Nixon,4,"{'confidence': -3.851722e-06, 'final': True}",18
20,True,-0.00,Richard Nixon,4,"{'confidence': -1.1100375e-06, 'final': True}",18
20,True,-0.00,Richard Nixon,4,"{'confidence': -1.1100375e-06, 'final': True}",18
7,False,-0.00,Sicily,0,"{'confidence': -0.00043564528855000005, 'final': False}",19
11,True,-0.00,Roanoke Island,0,"{'confidence': -0.0009845666461625, 'final': True}",19
18,False,-0.00,Roanoke Island,0,"{'confidence': -0.0037676975372, 'final': False}",19
22,False,-0.00,Roanoke Island,0,"{'confidence': -0.003197336625325, 'final': False}",19
6,True,-0.00,Roanoke Island,1,"{'confidence': -0.0001220339756, 'final': True}",19
12,True,-0.00,Roanoke Island,1,"{'confidence': -0.000247452734525, 'final': True}",19
19,True,-0.00,Roanoke Island,1,"{'confidence': -0.0005044279578500001, 'final': True}",19
20,True,-0.00,Roanoke Island,1,"{'confidence': -0.001690827920675, 'final': True}",19
6,True,-0.00,Roanoke Island,2,"{'confidence': -0.00025197330301250003, 'final': True}",19
12,True,-0.00,Roanoke Island,2,"{'confidence': -0.00020029073649999998, 'final': True}",19
18,True,-0.00,Roanoke Island,2,"{'confidence': -0.00011556991954999999, 'final': True}",19
6,True,-0.00,Roanoke Island,3,"{'confidence': -3.8932972932500006e-05, 'final': True}",19
12,True,-0.00,Roanoke Island,3,"{'confidence': -7.643841862500001e-06, 'final': True}",19
14,True,-0.00,Roanoke Island,3,"{'confidence': -2.708523751e-05, 'final': True}",19
6,True,-0.00,Roanoke Island,4,"{'confidence': -7.6544675075e-05, 'final': True}",19
13,True,-0.00,Roanoke Island,4,"{'confidence': -0.0015434395099875, 'final': True}",19
20,True,-0.00,Roanoke Island,4,"{'confidence': -0.00038290806406999996, 'final': True}",19
7,True,-0.00,Roanoke Island,5,"{'confidence': -4.32643849875e-05, 'final': True}",19
10,False,-0.07,Roanoke Island,5,"{'confidence': -0.07280969521368251, 'final': False}",19
10,False,-0.07,Roanoke Island,5,"{'confidence': -0.07280969521368251, 'final': False}",19
6,False,-0.00,Mark E. Mitchell,0,"{'confidence': -0.000211971757175, 'final': False}",20
11,False,-0.10,Mark E. Mitchell,0,"{'confidence': -0.103808658754325, 'final': False}",20
19,False,-0.01,War in Afghanistan (2001–2021),0,"{'confidence': -0.007018262021629999, 'final': False}",20
25,False,-0.02,War in Afghanistan (2001–2021),0,"{'confidence': -0.022611677395195002, 'final': False}",20
26,False,-0.01,War in Afghanistan (2001–2021),0,"{'confidence': -0.013119367914965, 'final': False}",20
6,False,-0.05,War in Afghanistan (2001–2021),1,"{'confidence': -0.050164655193230004, 'final': False}",20
14,False,-0.01,War in Afghanistan (2001–2021),1,"{'confidence': -0.008023625559233, 'final': False}",20
18,False,-0.01,War in Afghanistan (2001–2021),1,"{'confidence': -0.006446545374632999, 'final': False}",20
7,False,-0.01,War in Afghanistan (2001–2021),2,"{'confidence': -0.005343976820938, 'final': False}",20
14,False,-0.00,War in Afghanistan (2001–2021),2,"{'confidence': -0.0036358079985460007, 'final': False}",20
19,False,-0.04,War in Afghanistan (2001–2021),2,"{'confidence': -0.040760640059262, 'final': False}",20
5,False,-0.01,War in Afghanistan (2001–2021),3,"{'confidence': -0.00799887564636, 'final': False}",20
10,False,-0.04,War in Afghanistan (2001–2021),3,"{'confidence': -0.04464129093409001, 'final': False}",20
13,False,-0.05,War in Afghanistan (2001–2021),3,"{'confidence': -0.049441542497405, 'final': False}",20
7,False,-0.01,War in Afghanistan (2001–2021),4,"{'confidence': -0.013599765945700004, 'final': False}",20
13,False,-0.03,War in Afghanistan (2001–2021),4,"{'confidence': -0.027150166822395, 'final': False}",20
19,False,-0.01,War in Afghanistan (2001–2021),4,"{'confidence': -0.009730581850104999, 'final': False}",20
26,False,-0.02,War in Afghanistan (2001–2021),4,"{'confidence': -0.018505375366868998, 'final': False}",20
28,False,-0.01,War in Afghanistan (2001–2021),4,"{'confidence': -0.013220863566225, 'final': False}",20
28,False,-0.01,War in Afghanistan (2001–2021),4,"{'confidence': -0.013220863566225, 'final': False}",20
8,False,-0.27,Queen regnant,0,"{'confidence': -0.26791372761154664, 'final': False}",21
14,False,-0.16,Elizabeth I of England,0,"{'confidence': -0.15958832452830002, 'final': False}",21
20,False,-0.07,Saint Swithun,0,"{'confidence': -0.0679271568315825, 'final': False}",21
22,False,-0.21,Saint Swithun,0,"{'confidence': -0.2114761086708325, 'final': False}",21
8,True,-0.00,Emma of Normandy,1,"{'confidence': -0.00053184179225, 'final': True}",21
14,True,-0.00,Emma of Normandy,1,"{'confidence': -0.0023104920824249995, 'final': True}",21
20,False,-0.00,Emma of Normandy,1,"{'confidence': -0.004039408535244999, 'final': False}",21
26,False,-0.00,Emma of Normandy,1,"{'confidence': -0.004554582700832499, 'final': False}",21
27,False,-0.02,Normandy,1,"{'confidence': -0.015273172306325, 'final': False}",21
5,False,-0.01,Emma of Normandy,2,"{'confidence': -0.014812636830000002, 'final': False}",21
11,True,-0.00,Normandy,2,"{'confidence': -0.00209315865, 'final': True}",21
17,True,-0.00,Normandy,2,"{'confidence': -0.00064856945, 'final': True}",21
9,True,-0.00,Normandy,3,"{'confidence': -3.8837995e-05, 'final': True}",21
16,True,-0.00,Normandy,3,"{'confidence': -4.5441732e-07, 'final': True}",21
23,True,-0.00,Normandy,3,"{'confidence': -1.6546912e-05, 'final': True}",21
25,True,-0.00,Normandy,3,"{'confidence': -4.805351e-06, 'final': True}",21
7,False,-0.02,Normandy,4,"{'confidence': -0.01532760966, 'final': False}",21
12,True,-0.00,Normandy,4,"{'confidence': -0.00035047726515, 'final': True}",21
14,True,-0.00,Normandy,4,"{'confidence': -0.000568597106325, 'final': True}",21
14,True,-0.00,Normandy,4,"{'confidence': -0.000568597106325, 'final': True}",21
8,False,-0.08,Chicago Union Stock Yards,0,"{'confidence': -0.079354571, 'final': False}",22
15,True,-0.00,Bull-baiting,0,"{'confidence': -0.00135730856253, 'final': True}",22
20,False,-0.04,Bull-baiting,0,"{'confidence': -0.042615081719999996, 'final': False}",22
26,False,-0.42,London,0,"{'confidence': -0.41872665, 'final': False}",22
28,False,-0.07,Aylesbury,0,"{'confidence': -0.06645517694900001, 'final': False}",22
6,False,-0.32,Dublin,1,"{'confidence': -0.31597096601, 'final': False}",22
13,False,-0.03,"Sudbury, Suffolk",1,"{'confidence': -0.02573796801864, 'final': False}",22
19,True,-0.00,"Sudbury, Suffolk",1,"{'confidence': -0.0018189460377960002, 'final': True}",22
7,True,-0.00,"Sudbury, Suffolk",2,"{'confidence': -0.00043926041478, 'final': True}",22
12,True,-0.00,"Sudbury, Suffolk",2,"{'confidence': -0.00199259317346, 'final': True}",22
19,False,-0.01,"Sudbury, Suffolk",2,"{'confidence': -0.006729839932723999, 'final': False}",22
24,False,-0.02,"Sudbury, Suffolk",2,"{'confidence': -0.01901196983117, 'final': False}",22
6,False,-0.01,"Sudbury, Suffolk",3,"{'confidence': -0.01146424185171, 'final': False}",22
13,False,-0.00,Canterbury,3,"{'confidence': -0.0032261694879666667, 'final': False}",22
19,True,-0.00,Canterbury,3,"{'confidence': -0.00046934841643333337, 'final': True}",22
24,True,-0.00,Canterbury,3,"{'confidence': -6.4562431e-07, 'final': True}",22
7,True,-0.00,Canterbury,4,"{'confidence': -2.3939448e-06, 'final': True}",22
13,True,-0.00,Canterbury,4,"{'confidence': -5.264206666666667e-07, 'final': True}",22
16,True,-0.00,Canterbury,4,"{'confidence': -2.0363337666666668e-06, 'final': True}",22
16,True,-0.00,Canterbury,4,"{'confidence': -2.0363337666666668e-06, 'final': True}",22
6,False,-0.00,Inca Empire,0,"{'confidence': -8.7972398e-05, 'final': False}",23
11,False,-0.21,Erving Goffman,0,"{'confidence': -0.20721471699723998, 'final': False}",23
16,False,-0.27,List of swords,0,"{'confidence': -0.26615137106156667, 'final': False}",23
23,False,-0.22,Tokugawa shogunate,0,"{'confidence': -0.22087741372964162, 'final': False}",23
25,False,-0.27,Order of the Garter,0,"{'confidence': -0.27137135857458594, 'final': False}",23
7,False,-0.04,Knights Templar,1,"{'confidence': -0.039006138666875, 'final': False}",23
12,False,-0.13,Teutonic Order,1,"{'confidence': -0.125754166488, 'final': False}",23
13,True,-0.00,Teutonic Order,1,"{'confidence': -0.0001866384326625, 'final': True}",23
7,True,-0.00,Teutonic Order,2,"{'confidence': -6.815751275e-05, 'final': True}",23
14,True,-0.00,Teutonic Order,2,"{'confidence': -0.000511412555, 'final': True}",23
21,True,-0.00,Teutonic Order,2,"{'confidence': -0.0002116571875, 'final': True}",23
22,True,-0.00,Teutonic Order,2,"{'confidence': -0.0002583997025, 'final': True}",23
7,True,-0.00,Teutonic Order,3,"{'confidence': -4.3471386375e-06, 'final': True}",23
13,True,-0.00,Teutonic Order,3,"{'confidence': -1.199440225e-06, 'final': True}",23
17,True,-0.00,Teutonic Order,3,"{'confidence': -2.04811325e-07, 'final': True}",23
22,True,-0.00,Teutonic Order,3,"{'confidence': -7.52426475e-07, 'final': True}",23
7,True,-0.00,Teutonic Order,4,"{'confidence': -1.08005e-07, 'final': True}",23
13,True,-0.00,Teutonic Order,4,"{'confidence': -1.26607245e-07, 'final': True}",23
18,True,-0.00,Teutonic Order,4,"{'confidence': -9.6806325e-08, 'final': True}",23
