question,final,evidence,weight,word,page,sentence
111,False,"{'confidence': -0.0032859033626800004, 'final': False}",-0.00,5,Pierre de Fermat,2
111,False,"{'confidence': -0.05066653550094, 'final': False}",-0.05,9,Pierre de Fermat,2
111,False,"{'confidence': -0.13376963590316251, 'final': False}",-0.13,15,Sophie Germain,2
111,True,"{'confidence': -0.0005668737281625, 'final': True}",-0.00,22,Sophie Germain,2
111,False,"{'confidence': -0.0481054334031625, 'final': False}",-0.05,29,Sophie Germain,2
111,False,"{'confidence': -0.019463862805912502, 'final': False}",-0.02,36,Sophie Germain,2
111,False,"{'confidence': -0.01782770990775, 'final': False}",-0.02,6,Sophie Germain,3
111,False,"{'confidence': -0.0359541103059125, 'final': False}",-0.04,12,Sophie Germain,3
111,False,"{'confidence': -0.0040591703105, 'final': False}",-0.00,16,Sophie Germain,3
111,True,"{'confidence': -5.32621395e-07, 'final': True}",-0.00,21,Sophie Germain,3
111,True,"{'confidence': -4.5441735e-07, 'final': True}",-0.00,27,Sophie Germain,3
111,True,"{'confidence': -5.140191625e-07, 'final': True}",-0.00,33,Sophie Germain,3
111,True,"{'confidence': -4.1341774500000003e-07, 'final': True}",-0.00,38,Sophie Germain,3
111,True,"{'confidence': -3.836168125e-07, 'final': True}",-0.00,39,Sophie Germain,3
111,True,"{'confidence': -1.5640816250000001e-07, 'final': True}",-0.00,7,Sophie Germain,4
111,True,"{'confidence': -1.6923124745e-05, 'final': True}",-0.00,12,Sophie Germain,4
111,True,"{'confidence': -1.08005e-07, 'final': True}",-0.00,17,Sophie Germain,4
111,True,"{'confidence': -1.08005e-07, 'final': True}",-0.00,17,Sophie Germain,4
112,False,"{'confidence': -0.28327071266666665, 'final': False}",-0.28,8,Psychological projection,0
112,False,"{'confidence': -0.055340974412108335, 'final': False}",-0.06,13,Dissociative identity disorder,0
112,False,"{'confidence': -0.125863836497, 'final': False}",-0.13,17,Boston naming test,0
112,False,"{'confidence': -0.13979017040788333, 'final': False}",-0.14,6,Boston Naming Test,1
112,False,"{'confidence': -0.015992405270883334, 'final': False}",-0.02,12,Boston Naming Test,1
112,False,"{'confidence': -0.05674756727211, 'final': False}",-0.06,12,Boston Naming Test,1
112,False,"{'confidence': -0.04746523388368332, 'final': False}",-0.05,6,Aphasia,2
112,False,"{'confidence': -0.004927520951, 'final': False}",-0.00,11,Aphasia,2
112,True,"{'confidence': -0.00023224585754999996, 'final': True}",-0.00,17,Aphasia,2
112,True,"{'confidence': -0.00018000069121666665, 'final': True}",-0.00,21,Aphasia,2
112,False,"{'confidence': -0.012439490228443333, 'final': False}",-0.01,26,Aphasia,2
112,False,"{'confidence': -0.007371789870110001, 'final': False}",-0.01,28,Aphasia,2
112,False,"{'confidence': -0.00945441844455, 'final': False}",-0.01,5,Aphasia,3
112,True,"{'confidence': -4.004737066666667e-05, 'final': True}",-0.00,11,Aphasia,3
112,True,"{'confidence': -9.860265600000001e-05, 'final': True}",-0.00,16,Aphasia,3
112,True,"{'confidence': -4.664086133333333e-05, 'final': True}",-0.00,16,Aphasia,3
112,True,"{'confidence': -7.347417033333333e-05, 'final': True}",-0.00,7,Aphasia,4
112,True,"{'confidence': -9.253091316666667e-06, 'final': True}",-0.00,13,Aphasia,4
112,True,"{'confidence': -1.5292743276666667e-05, 'final': True}",-0.00,18,Aphasia,4
112,True,"{'confidence': -1.7432602666666668e-06, 'final': True}",-0.00,24,Aphasia,4
112,True,"{'confidence': -4.320199866666667e-07, 'final': True}",-0.00,29,Aphasia,4
112,True,"{'confidence': -7.896309766666667e-07, 'final': True}",-0.00,30,Aphasia,4
112,True,"{'confidence': -7.896309766666667e-07, 'final': True}",-0.00,30,Aphasia,4
113,False,"{'confidence': -1.3019204875e-05, 'final': False}",-0.00,6,Rik Mayall,0
113,False,"{'confidence': -0.02351880074966667, 'final': False}",-0.02,12,Nicholas U. Mayall,0
113,True,"{'confidence': -0.0005363741433825, 'final': True}",-0.00,18,Crab Nebula,0
113,True,"{'confidence': -3.5923077475e-05, 'final': True}",-0.00,20,Crab Nebula,0
113,True,"{'confidence': -0.00030368803675, 'final': True}",-0.00,6,Crab Nebula,1
113,False,"{'confidence': -0.01102885684341, 'final': False}",-0.01,11,Crab Nebula,1
113,False,"{'confidence': -0.08434052722737499, 'final': False}",-0.08,17,Crab Nebula,1
113,True,"{'confidence': -0.0009736620191574999, 'final': True}",-0.00,18,Crab Nebula,1
113,False,"{'confidence': -0.019888819397925, 'final': False}",-0.02,7,Crab Nebula,2
113,False,"{'confidence': -0.0836702356346625, 'final': False}",-0.08,11,Crab Nebula,2
113,True,"{'confidence': -0.0002535667179875, 'final': True}",-0.00,16,Crab Nebula,2
113,True,"{'confidence': -0.0004772052725825, 'final': True}",-0.00,21,Crab Nebula,2
113,False,"{'confidence': -0.00551961060566, 'final': False}",-0.01,28,Crab Nebula,2
113,True,"{'confidence': -7.82040825e-08, 'final': True}",-0.00,35,Crab Nebula,2
113,True,"{'confidence': -1.08005e-07, 'final': True}",-0.00,38,Crab Nebula,2
113,True,"{'confidence': -2.868105e-07, 'final': True}",-0.00,7,Crab Nebula,3
113,True,"{'confidence': -3.3521366e-07, 'final': True}",-0.00,13,Crab Nebula,3
113,True,"{'confidence': -1.378059125e-07, 'final': True}",-0.00,19,Crab Nebula,3
113,True,"{'confidence': 0.0, 'final': True}",0.00,21,Crab Nebula,3
113,True,"{'confidence': 0.0, 'final': True}",0.00,21,Crab Nebula,3
114,False,"{'confidence': -0.304733615464075, 'final': False}",-0.30,7,Dave Chappelle,0
114,False,"{'confidence': -0.3976480946566667, 'final': False}",-0.40,12,Columbia University,0
114,True,"{'confidence': -5.264206766666667e-07, 'final': True}",-0.00,17,Ray Bradbury,0
114,True,"{'confidence': -3.006412666666667e-05, 'final': True}",-0.00,8,Ray Bradbury,1
114,False,"{'confidence': -0.0231642915685, 'final': False}",-0.02,15,Fields Medal,1
114,False,"{'confidence': -0.28792264960421665, 'final': False}",-0.29,20,Paul Dirac,1
114,False,"{'confidence': -0.21140726408333332, 'final': False}",-0.21,27,Terence Tao,1
114,False,"{'confidence': -0.11935722880965999, 'final': False}",-0.12,31,Ian Agol,1
114,False,"{'confidence': -0.05629890693863, 'final': False}",-0.06,31,Grigori Perelman,1
114,False,"{'confidence': -0.00336473060037, 'final': False}",-0.00,5,Grigori Perelman,2
114,False,"{'confidence': -0.141306147884, 'final': False}",-0.14,9,Grigori Perelman,2
114,True,"{'confidence': -0.00046150748872999994, 'final': True}",-0.00,14,Grigori Perelman,2
114,True,"{'confidence': -2.4615183e-06, 'final': True}",-0.00,21,Grigori Perelman,2
114,True,"{'confidence': -8.8802998e-07, 'final': True}",-0.00,23,Grigori Perelman,2
114,True,"{'confidence': -3.5105106e-06, 'final': True}",-0.00,7,Grigori Perelman,3
114,True,"{'confidence': -5.69141546e-07, 'final': True}",-0.00,10,Grigori Perelman,3
114,True,"{'confidence': -5.69141546e-07, 'final': True}",-0.00,10,Grigori Perelman,3
