evidence,final,page,question,sentence,weight,word
"{'confidence': -7.6438415e-06, 'final': True}",True,Shanghai,141,2,-0.00,15
"{'confidence': -9.49149875e-06, 'final': True}",True,Shanghai,141,2,-0.00,21
"{'confidence': -4.1140071649999995e-05, 'final': True}",True,Shanghai,141,2,-0.00,26
"{'confidence': -4.0067238000000006e-05, 'final': True}",True,Shanghai,141,2,-0.00,28
"{'confidence': -6.704273649999999e-07, 'final': True}",True,Shanghai,141,3,-0.00,7
"{'confidence': -5.51223645e-07, 'final': True}",True,Shanghai,141,3,-0.00,15
"{'confidence': -7.89631e-07, 'final': True}",True,Shanghai,141,3,-0.00,21
"{'confidence': -1.147242e-06, 'final': True}",True,Shanghai,141,3,-0.00,27
"{'confidence': -9.0883464e-07, 'final': True}",True,Shanghai,141,3,-0.00,27
"{'confidence': -4.32019975e-07, 'final': True}",True,Shanghai,141,4,-0.00,7
"{'confidence': 0.0, 'final': True}",True,Shanghai,141,4,0.00,12
"{'confidence': 0.0, 'final': True}",True,Shanghai,141,4,0.00,12
"{'confidence': -1.4452511375e-06, 'final': False}",False,Charles O'Rear,142,0,-0.00,6
"{'confidence': -0.0009071759, 'final': True}",True,California,142,0,-0.00,11
"{'confidence': -0.0057299254, 'final': False}",False,California,142,0,-0.01,15
"{'confidence': -0.0019397038, 'final': True}",True,California,142,1,-0.00,7
"{'confidence': -8.89548e-06, 'final': True}",True,California,142,1,-0.00,14
"{'confidence': -1.3902034e-05, 'final': True}",True,California,142,1,-0.00,19
"{'confidence': -1.735894e-05, 'final': True}",True,California,142,1,-0.00,26
"{'confidence': -0.08315593, 'final': False}",False,California,142,1,-0.08,31
"{'confidence': -1.504853e-06, 'final': True}",True,California,142,2,-0.00,8
"{'confidence': -4.3202e-07, 'final': True}",True,California,142,2,-0.00,15
"{'confidence': -1.60477e-05, 'final': True}",True,California,142,3,-0.00,6
"{'confidence': -7.89631e-07, 'final': True}",True,California,142,3,-0.00,15
"{'confidence': -3.5313153e-06, 'final': True}",True,California,142,3,-0.00,20
"{'confidence': -4.4849444e-06, 'final': True}",True,California,142,3,-0.00,23
"{'confidence': -1.147242e-06, 'final': True}",True,California,142,3,-0.00,26
"{'confidence': -1.147242e-06, 'final': True}",True,California,142,3,-0.00,26
"{'confidence': -0.03728282677202, 'final': False}",False,List of U.S. states by population density,143,0,-0.04,8
"{'confidence': -0.07670636, 'final': False}",False,Arizona,143,0,-0.08,15
"{'confidence': -0.392770873621, 'final': False}",False,Montana,143,0,-0.39,21
"{'confidence': -1.98166765e-06, 'final': True}",True,Utah,143,1,-0.00,8
"{'confidence': -3.78619725e-05, 'final': True}",True,Utah,143,1,-0.00,16
"{'confidence': -5.080962850000001e-06, 'final': True}",True,Utah,143,1,-0.00,17
"{'confidence': -2.6968896e-06, 'final': True}",True,Utah,143,2,-0.00,8
"{'confidence': -3.91732107e-05, 'final': True}",True,Utah,143,2,-0.00,15
"{'confidence': -0.038475435, 'final': False}",False,Utah,143,2,-0.04,22
"{'confidence': -0.051651592971499995, 'final': False}",False,Utah,143,2,-0.05,26
"{'confidence': -0.05181985725035, 'final': False}",False,Utah,143,3,-0.05,7
"{'confidence': -0.00020875968, 'final': True}",True,Montana,143,3,-0.00,14
"{'confidence': -9.5734975e-06, 'final': True}",True,Montana,143,3,-0.00,15
"{'confidence': -9.5734975e-06, 'final': True}",True,Montana,143,3,-0.00,15
"{'confidence': -0.15831678105816252, 'final': False}",False,Hippocampus,144,0,-0.16,8
"{'confidence': -0.0022624442225, 'final': True}",True,Everglades,144,0,-0.00,13
"{'confidence': -0.14267439521643335, 'final': False}",False,Everglades,144,0,-0.14,19
"{'confidence': -0.014641392815233334, 'final': False}",False,Everglades,144,0,-0.01,19
"{'confidence': -0.06831024760544334, 'final': False}",False,Amazon rainforest,144,1,-0.07,7
"{'confidence': -0.000150930887, 'final': True}",True,Everglades,144,1,-0.00,13
"{'confidence': -6.764745833333333e-06, 'final': True}",True,Everglades,144,1,-0.00,18
"{'confidence': -8.8706773e-06, 'final': True}",True,Everglades,144,2,-0.00,7
"{'confidence': -8.950145883333333e-06, 'final': True}",True,Everglades,144,2,-0.00,13
"{'confidence': -3.5065123333333333e-06, 'final': True}",True,Everglades,144,2,-0.00,18
"{'confidence': -1.1637164883333334e-05, 'final': True}",True,Everglades,144,2,-0.00,23
"{'confidence': -8.314393433333333e-06, 'final': True}",True,Everglades,144,3,-0.00,5
"{'confidence': -8.72667e-06, 'final': True}",True,Everglades,144,3,-0.00,10
"{'confidence': -1.7979264433333334e-06, 'final': True}",True,Everglades,144,3,-0.00,16
"{'confidence': -9.069350233333333e-06, 'final': True}",True,Everglades,144,3,-0.00,24
"{'confidence': -7.009673755e-05, 'final': True}",True,Everglades,144,3,-0.00,25
"{'confidence': -7.021593666666666e-05, 'final': True}",True,Everglades,144,4,-0.00,6
"{'confidence': -0.00010910506, 'final': True}",True,Everglades,144,4,-0.00,12
"{'confidence': -6.248196550000001e-06, 'final': True}",True,Everglades,144,4,-0.00,18
"{'confidence': -2.7267775e-05, 'final': True}",True,Everglades,144,4,-0.00,23
"{'confidence': -1.0951805333333334e-05, 'final': True}",True,Everglades,144,5,-0.00,6
"{'confidence': -7.00315311e-06, 'final': True}",True,Everglades,144,5,-0.00,13
"{'confidence': -3.8433185443333333e-05, 'final': True}",True,Everglades,144,5,-0.00,17
"{'confidence': -8.47333155e-06, 'final': True}",True,Everglades,144,5,-0.00,24
"{'confidence': -1.8049358883333336e-05, 'final': True}",True,Everglades,144,5,-0.00,28
"{'confidence': -9.2526889796e-05, 'final': True}",True,Everglades,144,6,-0.00,7
"{'confidence': -0.000165862455796, 'final': True}",True,Everglades,144,6,-0.00,14
"{'confidence': -0.06773328434517, 'final': False}",False,Everglades,144,6,-0.07,20
"{'confidence': -0.07846682256326601, 'final': False}",False,Everglades,144,6,-0.08,22
"{'confidence': -0.07846682256326601, 'final': False}",False,Everglades,144,6,-0.08,22
