word,sentence,question,page,evidence,weight,final
7,1,134,A Visit From The Goon Squad,"{'confidence': -0.040210838089565715, 'final': False}",-0.04,False
13,1,134,Wide Sargasso Sea,"{'confidence': -0.07727373907103, 'final': False}",-0.08,False
17,1,134,Beloved (novel),"{'confidence': -0.055891973711616666, 'final': False}",-0.06,False
7,2,134,Beloved (novel),"{'confidence': -0.005466245195916666, 'final': False}",-0.01,False
13,2,134,Wide Sargasso Sea,"{'confidence': -0.2527021064373, 'final': False}",-0.25,False
18,2,134,Wide Sargasso Sea,"{'confidence': -0.007208352422640001, 'final': False}",-0.01,False
25,2,134,Wide Sargasso Sea,"{'confidence': -6.902945821e-05, 'final': True}",-0.00,True
25,2,134,Wide Sargasso Sea,"{'confidence': -0.00093463873752, 'final': True}",-0.00,True
4,3,134,Wide Sargasso Sea,"{'confidence': -1.613713906e-05, 'final': True}",-0.00,True
9,3,134,Wide Sargasso Sea,"{'confidence': -1.41252604e-06, 'final': True}",-0.00,True
13,3,134,Wide Sargasso Sea,"{'confidence': -4.3145021466e-05, 'final': True}",-0.00,True
20,3,134,Wide Sargasso Sea,"{'confidence': -4.3505603e-07, 'final': True}",-0.00,True
26,3,134,Wide Sargasso Sea,"{'confidence': -3.39693126e-07, 'final': True}",-0.00,True
32,3,134,Wide Sargasso Sea,"{'confidence': -1.3408546e-07, 'final': True}",-0.00,True
37,3,134,Wide Sargasso Sea,"{'confidence': -2.2944840000000003e-07, 'final': True}",-0.00,True
39,3,134,Wide Sargasso Sea,"{'confidence': -1.7280798999999998e-07, 'final': True}",-0.00,True
39,3,134,Wide Sargasso Sea,"{'confidence': -1.7280798999999998e-07, 'final': True}",-0.00,True
