evidence,word,question,page,final,sentence,weight
"{'confidence': -0.027093733734275715, 'final': False}",26,108,List of nicknames used in basketball,False,2,-0.03
"{'confidence': -0.08241191380818572, 'final': False}",7,108,List of nicknames used in basketball,False,3,-0.08
"{'confidence': -0.06033062041558125, 'final': False}",8,108,Luka Dončić and LeBron James,False,3,-0.06
"{'confidence': -0.09014640837157223, 'final': False}",8,108,Luka Dončić and Trae Young,False,4,-0.09
"{'confidence': -0.00312305270722875, 'final': False}",11,108,Magic,False,4,-0.00
"{'confidence': -0.00452558631720375, 'final': False}",7,108,Magic,False,5,-0.00
"{'confidence': -0.004224874463325, 'final': False}",13,108,Magic,False,5,-0.00
"{'confidence': -0.0158994185873725, 'final': False}",18,108,Magic,False,5,-0.02
"{'confidence': -0.10726406158833125, 'final': False}",24,108,Magic,False,5,-0.11
"{'confidence': -0.06016261071904125, 'final': False}",26,108,Magic,False,5,-0.06
"{'confidence': -0.06016261071904125, 'final': False}",26,108,Magic,False,5,-0.06
"{'confidence': -0.188923762278375, 'final': False}",9,109,List of NBA players who have won championships,False,0,-0.19
"{'confidence': -0.39483521340600003, 'final': False}",14,109,Bill Russell,False,0,-0.39
"{'confidence': -0.005255049679993334, 'final': False}",20,109,LeBron James,False,0,-0.01
"{'confidence': -0.016999542747883335, 'final': False}",28,109,LeBron James,False,0,-0.02
"{'confidence': -0.0041846907782999996, 'final': False}",31,109,Kawhi Leonard,False,0,-0.00
"{'confidence': -0.0685633792056625, 'final': False}",7,109,Kawhi Leonard,False,1,-0.07
"{'confidence': -0.11280034263066249, 'final': False}",12,109,Kawhi Leonard,False,1,-0.11
"{'confidence': -0.43071411601, 'final': False}",18,109,Toronto Raptors,False,1,-0.43
"{'confidence': -0.043137616499725, 'final': False}",26,109,Kawhi Leonard,False,1,-0.04
"{'confidence': -0.06929712975637833, 'final': False}",31,109,Danny Green (basketball),False,1,-0.07
"{'confidence': -0.09882770350999501, 'final': False}",31,109,Kawhi Leonard,False,1,-0.10
"{'confidence': -0.007748978607245, 'final': False}",8,109,Kawhi Leonard,False,2,-0.01
"{'confidence': -0.001540594357245, 'final': True}",15,109,Kawhi Leonard,True,2,-0.00
"{'confidence': -0.00570907679705, 'final': False}",23,109,Danny Green (basketball),False,2,-0.01
"{'confidence': -0.022488467022775002, 'final': False}",25,109,Danny Green (basketball),False,2,-0.02
"{'confidence': -0.00943908034, 'final': False}",7,109,Patrick McCaw,False,3,-0.01
"{'confidence': -3.823451211e-05, 'final': True}",12,109,Patrick McCaw,True,3,-0.00
"{'confidence': -8.288636788333334e-05, 'final': True}",19,109,Patrick McCaw,True,3,-0.00
"{'confidence': -3.2774788333333336e-07, 'final': True}",25,109,Patrick McCaw,True,3,-0.00
"{'confidence': -1.290751e-07, 'final': True}",29,109,Patrick McCaw,True,3,-0.00
"{'confidence': -1.290751e-07, 'final': True}",29,109,Patrick McCaw,True,3,-0.00
