sentence,page,evidence,question,final,weight,word
3,Omega SA,"{'confidence': -0.003017937456325, 'final': False}",156,False,-0.00,6
3,Omega SA,"{'confidence': -0.00078617635, 'final': True}",156,True,-0.00,13
3,Omega SA,"{'confidence': -0.00021956635, 'final': True}",156,True,-0.00,14
4,Omega SA,"{'confidence': -0.00093855635, 'final': True}",156,True,-0.00,6
4,Omega SA,"{'confidence': -0.000869718, 'final': True}",156,True,-0.00,12
4,Lululemon,"{'confidence': -0.04125714104007143, 'final': False}",156,False,-0.04,18
4,Omega SA,"{'confidence': -0.248178041408165, 'final': False}",156,False,-0.25,23
4,Lululemon,"{'confidence': -1.0042828735714286e-05, 'final': True}",156,True,-0.00,29
4,Lululemon,"{'confidence': -3.2035319142857142e-06, 'final': True}",156,True,-0.00,36
5,Lululemon,"{'confidence': -2.8459208499999998e-06, 'final': True}",156,True,-0.00,8
5,Lululemon,"{'confidence': -2.3967651185714287e-06, 'final': True}",156,True,-0.00,14
5,Lululemon,"{'confidence': -2.80123275e-06, 'final': True}",156,True,-0.00,20
5,Lululemon,"{'confidence': -2.0178944285714286e-06, 'final': True}",156,True,-0.00,27
5,Lululemon,"{'confidence': -3.4419391357142857e-06, 'final': True}",156,True,-0.00,30
5,Lululemon,"{'confidence': -3.4419391357142857e-06, 'final': True}",156,True,-0.00,30
0,The Economist,"{'confidence': -0.00053883285395, 'final': False}",157,False,-0.00,6
0,The Economist,"{'confidence': -0.0050139505283, 'final': False}",157,False,-0.01,10
0,The Economist,"{'confidence': -0.1168719771655, 'final': False}",157,False,-0.12,15
0,News Corporation,"{'confidence': -0.130383603, 'final': False}",157,False,-0.13,21
0,The Economist,"{'confidence': -0.058140049463000006, 'final': False}",157,False,-0.06,27
0,The Economist,"{'confidence': -0.330477646683, 'final': False}",157,False,-0.33,27
1,Bloomberg L.P.,"{'confidence': -0.034662574736796, 'final': False}",157,False,-0.03,5
1,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.06360011308066667, 'final': False}",157,False,-0.06,10
1,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.0014041551429933333, 'final': True}",157,True,-0.00,16
1,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.0005410573333333333, 'final': True}",157,True,-0.00,22
1,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.0031692570188666665, 'final': False}",157,False,-0.00,24
2,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.0009286850103333333, 'final': True}",157,True,-0.00,7
2,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.0007810888456666666, 'final': True}",157,True,-0.00,11
2,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.0010662364335666666, 'final': True}",157,True,-0.00,16
2,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.00014799175406666665, 'final': True}",157,True,-0.00,23
2,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.00038946665133333334, 'final': True}",157,True,-0.00,31
2,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.00048228965600000004, 'final': True}",157,True,-0.00,35
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -7.648279833333334e-07, 'final': True}",157,True,-0.00,4
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -3.9863629466666665e-05, 'final': True}",157,True,-0.00,10
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -3.1757781546666666e-05, 'final': True}",157,True,-0.00,16
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -8.115720333333334e-06, 'final': True}",157,True,-0.00,21
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -0.00019362231154666668, 'final': True}",157,True,-0.00,27
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -2.0433432216666668e-05, 'final': True}",157,True,-0.00,33
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -4.443066176666667e-05, 'final': True}",157,True,-0.00,37
3,LVMH Moët Hennessy Louis Vuitton,"{'confidence': -4.443066176666667e-05, 'final': True}",157,True,-0.00,37
0,Women in the Victorian era,"{'confidence': -0.10288824331240001, 'final': False}",158,False,-0.10,6
0,List of companies established in the 19th century,"{'confidence': -0.10609103923976, 'final': False}",158,False,-0.11,13
0,Procter & Gamble,"{'confidence': -0.121691626155326, 'final': False}",158,False,-0.12,20
0,John Deere (company),"{'confidence': -0.17936770094398333, 'final': False}",158,False,-0.18,26
0,Singer Corporation,"{'confidence': -0.00348520614, 'final': False}",158,False,-0.00,32
0,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.012024279765599999, 'final': False}",158,False,-0.01,35
1,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.013943424185133333, 'final': False}",158,False,-0.01,6
1,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.1210972217656, 'final': False}",158,False,-0.12,10
1,"Tesla, Inc.","{'confidence': -0.00455003984025, 'final': False}",158,False,-0.00,15
1,"Tesla, Inc.","{'confidence': -0.0003881082731625, 'final': True}",158,True,-0.00,17
2,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.0019152811133266669, 'final': True}",158,True,-0.00,6
2,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.0005819265799933333, 'final': True}",158,True,-0.00,12
2,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.00260940587755, 'final': True}",158,True,-0.00,18
2,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.0009954062387766665, 'final': True}",158,True,-0.00,26
2,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.00047589727088333337, 'final': True}",158,True,-0.00,31
2,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.0006034410066666667, 'final': True}",158,True,-0.00,32
3,Daimler AG,"{'confidence': -0.0014466052781625, 'final': True}",158,True,-0.00,7
3,Daimler AG,"{'confidence': -0.08392704840316251, 'final': False}",158,False,-0.08,13
3,Daimler AG,"{'confidence': -0.0129977389540825, 'final': False}",158,False,-0.01,17
3,Daimler AG,"{'confidence': -0.010624114459074999, 'final': False}",158,False,-0.01,17
4,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.024166984272110004, 'final': False}",158,False,-0.02,7
4,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.016364729753433335, 'final': False}",158,False,-0.02,12
4,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.011108901278213332, 'final': False}",158,False,-0.01,16
4,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.0014040954826666666, 'final': True}",158,True,-0.00,19
4,Benz (accept Daimler-Benz and Mercedes-Benz),"{'confidence': -0.0014040954826666666, 'final': True}",158,True,-0.00,19
0,McDonald's,"{'confidence': -7.147159766666667e-06, 'final': False}",159,False,-0.00,6
0,McDonald's,"{'confidence': -9.790236821333333e-05, 'final': True}",159,True,-0.00,10
0,McDonald's,"{'confidence': -4.07217e-07, 'final': True}",159,True,-0.00,16
0,McDonald's,"{'confidence': -4.07217e-07, 'final': True}",159,True,-0.00,21
0,McDonald's,"{'confidence': -2.0854421666666669e-07, 'final': True}",159,True,-0.00,25
1,McDonald's,"{'confidence': -0.0038406527539833336, 'final': False}",159,False,-0.00,6
1,Jack in the Box,"{'confidence': -0.09745976731945, 'final': False}",159,False,-0.10,11
2,Del Taco,"{'confidence': -0.33382285561182495, 'final': False}",159,False,-0.33,6
2,Taco Bell,"{'confidence': -0.20793315686466665, 'final': False}",159,False,-0.21,10
2,Taco Bell,"{'confidence': -0.04519061820176667, 'final': False}",159,False,-0.05,12
3,Del Taco,"{'confidence': -0.325078006408165, 'final': False}",159,False,-0.33,7
3,Taco Bell,"{'confidence': -0.0073927466794666665, 'final': False}",159,False,-0.01,11
3,Taco Bell,"{'confidence': -2.4645293800000003e-05, 'final': True}",159,True,-0.00,14
3,Taco Bell,"{'confidence': -2.4645293800000003e-05, 'final': True}",159,True,-0.00,14
