page,weight,word,sentence,question,final,evidence
"The Rochester Royals were a basketball team that played in the city of Rochester, New York. They were the champions of the Basketball Association of America (BAA) in 1951, and were the first BAA champions to be recognized as NBA champions after the BAA merged with the National Basketball League (NBL) to form the NBA. The Royals were the first team to win both the BAA and NBA championships. The team was named after the Rochester Royal Guard, a group of soldiers who were stationed in the city during World War II. The team's name was later changed to the Cincinnati Royals when they moved to Cincinnati,",0.59,18,3,106,TRUE,"{'confidence': 0.5862890654969602, 'final': True}"
Baltimore Bullets,0.69,13,4,106,TRUE,"{'confidence': 0.6909379496665257, 'final': True}"
Baltimore Bullets,0.69,13,4,106,TRUE,"{'confidence': 0.6909379496665257, 'final': True}"
" said, ""I'm not going to be denied."" Who said this?

Alex Rodriguez",0.39,19,0,107,TRUE,"{'confidence': 0.3857312106917324, 'final': True}"
" I'm sorry, but I need more information in order to answer this question. Can you please provide more context or details about the player and the situation you are referring to?",0.69,26,0,107,TRUE,"{'confidence': 0.6907439053085256, 'final': True}"
" the Boston Celtics and the Milwaukee Bucks, was won by the Bucks in six games.",0.44,15,1,107,TRUE,"{'confidence': 0.4359123444434854, 'final': True}"
" I'm sorry, but I need more information in order to answer your question. Can you please provide more context or details about the player and the series you are referring to?",0.75,29,1,107,TRUE,"{'confidence': 0.7499391169137125, 'final': True}"
 the eventual champions.,0.51,19,2,107,TRUE,"{'confidence': 0.5148349262634554, 'final': True}"
 Sorry. I cannot find the answer based on the context.,0.89,22,2,107,TRUE,"{'confidence': 0.8935158872960691, 'final': True}"
2023,0.84,19,3,107,TRUE,"{'confidence': 0.8362885935343105, 'final': True}"
2022,0.87,22,3,107,TRUE,"{'confidence': 0.8681412802351273, 'final': True}"
2022,0.87,22,3,107,TRUE,"{'confidence': 0.8681412802351273, 'final': True}"
" Nickname is a short name or pet form of a person's given name. It is often used to refer to a person in an informal or friendly context. Nicknames can be derived from a variety of sources, such as a person's name, occupation, physical characteristics, or personal traits. They are commonly used among friends, family, and colleagues to convey a sense of familiarity and closeness. Nicknames can also be used to convey a sense of endearment or affection, or to poke fun at a person's characteristics or habits.",0.70,4,0,108,TRUE,"{'confidence': 0.7018093665092224, 'final': True}"
 season home run leaders.,0.31,18,1,108,TRUE,"{'confidence': 0.3101171712039089, 'final': True}"
 Michael Jordan and Magic Johnson,0.49,21,1,108,TRUE,"{'confidence': 0.4915530623117016, 'final': True}"
 year and the other finishing second in the voting.  Who are they?,0.54,18,2,108,TRUE,"{'confidence': 0.5399622982617422, 'final': True}"
"The common nickname is the ""Big 3"".",0.49,26,2,108,TRUE,"{'confidence': 0.49084082376580496, 'final': True}"
" The two players are Luka Doncic and Nikola Jokic.  The nickname for this duo is ""The Joker and the Don.""",0.63,8,3,108,TRUE,"{'confidence': 0.6308977923595709, 'final': True}"
" NBA players Luka Doncic and Russell Westbrook are often referred to as ""Luka"" and ""Westbrook"" respectively.",0.62,11,4,108,TRUE,"{'confidence': 0.6163415894943486, 'final': True}"
 NBA franchises in the Pacific Northwest.,0.47,18,5,108,TRUE,"{'confidence': 0.46988264189245293, 'final': True}"
" The common adjective in the nicknames of LeBron James and Luka Doncic is ""King"".",0.76,26,5,108,TRUE,"{'confidence': 0.7563329191509861, 'final': True}"
" The common adjective in the nicknames of LeBron James and Luka Doncic is ""King"".",0.76,26,5,108,TRUE,"{'confidence': 0.7563329191509861, 'final': True}"
 Michael Jordan,0.80,19,0,109,TRUE,"{'confidence': 0.8027881356193265, 'final': True}"
 Michael Jordan,0.82,31,0,109,TRUE,"{'confidence': 0.8226267467029884, 'final': True}"
 Michael Jordan convinced him to return to the Bulls.,0.56,17,1,109,TRUE,"{'confidence': 0.5627744795722129, 'final': True}"
 Michael Jordan,0.69,31,1,109,TRUE,"{'confidence': 0.6903053146817749, 'final': True}"
87ers.,0.54,23,2,109,TRUE,"{'confidence': 0.5410844831068953, 'final': True}"
 Michael Jordan,0.53,25,2,109,TRUE,"{'confidence': 0.5338758972440502, 'final': True}"
 Michael Jordan,0.38,18,3,109,TRUE,"{'confidence': 0.3798949153174802, 'final': True}"
 Klay Thompson,0.66,29,3,109,TRUE,"{'confidence': 0.6607520581875911, 'final': True}"
 Klay Thompson,0.66,29,3,109,TRUE,"{'confidence': 0.6607520581875911, 'final': True}"
