question,final,sentence,word,page,weight,evidence
157,TRUE,0,27," The Economist's CEO, chairman, and controlling stakeholder have referred to the publication as a ""family business,"" which could be seen as both a humble and accurate description. The publication has a long history and a distinct culture, and its staff often refer to themselves as ""Economististas.""",0.71,"{'confidence': 0.7093938650740891, 'final': True}"
157,TRUE,1,15," The Economist's CEO, chairman, and controlling stakeholder calling this empire popularly known by four letters a family business is both a humblebrag and true.",0.79,"{'confidence': 0.7931937253980912, 'final': True}"
157,TRUE,1,24," The Economist's CEO, chairman, and controlling stakeholder have referred to the company as a family business, which is both humble and true. Potential successors to the company's leadership include Delphine, who heads a fashion house, and Alexandre, who previously headed Rimowa before moving to a jewelry company.",0.85,"{'confidence': 0.8510773812727529, 'final': True}"
157,TRUE,2,16," The Economist's CEO, chairman, and controlling stakeholder referred to the company as a family business, which is both humble and true. Potential successors to the company's leadership include Delphine, who heads a fashion house, and Alexandre, who previously headed Rimowa before moving to a jewelry company. MGA Entertainment, a company that produces slime-containing plastic purses covered with symbols, was sued by one of its daughter companies.",0.83,"{'confidence': 0.832676743239461, 'final': True}"
157,TRUE,2,35,"The Economist's CEO, chairman, and controlling stakeholder referred to the company as a family business, which was both humble and true. Potential successors to the company's leadership include Delphine, who heads a fashion house, and Alexandre, who previously headed Rimowa before moving to a jewelry company. MGA Entertainment sued one of its subsidiary companies over a slime-filled plastic purse adorned with symbols that resembled a logo combining the Roman numerals for 50 and 5 and a flower motif commonly found on handbags.",0.89,"{'confidence': 0.8886586817673341, 'final': True}"
157,TRUE,2,35,"The Economist's CEO, chairman, and controlling stakeholder referred to the company as a family business, which was both humble and true. Potential successors to the company's leadership include Delphine, who heads a fashion house, and Alexandre, who previously headed Rimowa before moving to a jewelry company. MGA Entertainment sued one of its subsidiary companies over a plastic purse containing slime and adorned with symbols that resembled a logo combining the Roman numerals for 50 and 5 and a flower motif commonly found on handbags.",0.89,"{'confidence': 0.8880864927435653, 'final': True}"
157,TRUE,3,16, most powerful person according to Forbes.,0.40,"{'confidence': 0.3999229009449955, 'final': True}"
157,TRUE,3,32," company, and a jewlrey company.",0.63,"{'confidence': 0.628209047382936, 'final': True}"
157,TRUE,3,37,LVMH Moët Hennessy Louis Vuitton,0.45,"{'confidence': 0.4482566334906026, 'final': True}"
157,TRUE,3,37,LVMH Moët Hennessy Louis Vuitton,0.45,"{'confidence': 0.4482566334906026, 'final': True}"
158,TRUE,0,19," I'm sorry, but I need more information in order to answer your question. Can you please provide me with the name of the company and its founder?",0.71,"{'confidence': 0.7104957735059519, 'final': True}"
158,TRUE,0,35," I'm sorry, but I need more information in order to answer your question. Can you please provide me with the name of the company and its founder?",0.78,"{'confidence': 0.7778303156366091, 'final': True}"
158,TRUE,1,14, The question is missing information.,0.35,"{'confidence': 0.35308238969056105, 'final': True}"
158,TRUE,1,17," I'm sorry, but I need more information in order to answer your question. Can you please provide more details or context about the company you are referring to?",0.73,"{'confidence': 0.7281575438547789, 'final': True}"
158,TRUE,2,17," the company's founder died, his wife took over and changed the logo to a circle to represent the family being together again.",0.36,"{'confidence': 0.35786873651075257, 'final': True}"
158,TRUE,2,32, The company is Tesla.,0.64,"{'confidence': 0.6428946905500282, 'final': True}"
158,TRUE,3,17, The company is BMW.,0.53,"{'confidence': 0.5299297132146271, 'final': True}"
158,TRUE,3,17, The company is BMW.,0.53,"{'confidence': 0.5344436206500545, 'final': True}"
158,TRUE,4,15, Audi.,0.52,"{'confidence': 0.5199845167743862, 'final': True}"
158,TRUE,4,19, Volkswagen,0.53,"{'confidence': 0.5307126131784728, 'final': True}"
158,TRUE,4,19, Volkswagen,0.53,"{'confidence': 0.5307126131784728, 'final': True}"
159,TRUE,0,15, food item. What was the name of the founder of this franchise?,0.43,"{'confidence': 0.43276131388286104, 'final': True}"
159,TRUE,0,25, McDonald's,0.69,"{'confidence': 0.6900592147163961, 'final': True}"
159,TRUE,1,11, The franchise is known as In-N-Out Burger. The founder was inspired by the menu at a nearby drive-in restaurant.,0.46,"{'confidence': 0.46300313055760356, 'final': True}"
159,TRUE,2,12, McDonald's,0.50,"{'confidence': 0.50292028907178, 'final': True}"
159,TRUE,3,14,Taco Bell,0.50,"{'confidence': 0.49659731110847843, 'final': True}"
159,TRUE,3,14,Taco Bell,0.50,"{'confidence': 0.49659731110847843, 'final': True}"
