id,answer,text
19,Narendra_Modi,"This leader is not Muslim, but in March 2016 he paused a speech during an Islamic call to prayer.  In 2005 he was denied a diplomatic visa to enter the U.S. because he had failed to prevent both the burning of a train in Godhra and the Gulbarg Society Massacre during 2002 riots while he was chief minister of Gujarat [GOO-juh-raht].  For 10 points--name this leader of the BJP, a Hindu nationalist who is now prime minister of India."
20,Hokusai,"This artist won a contest by chasing a chicken that left footprints he described as floating maple leaves.  His explicit piece The Dream of the Fisherman's Wife is one of his works in a genre whose name means ""pictures of the floating world.""  In another work, two boats struggle against a large wall of water with Mount Fuji in the background.  For 10 points--what Japanese ukiyo-e artist created The Great Wave off Kanagawa?"
21,Battle_of_Waterloo,"The site of this battle is called a ""place of skulls"" where ""last the eagle flew"" in Canto III of Lord Byron's poem Childe Harold's Pilgrimage.  Fabrizio del Dongo ineptly tries to fight in this battle near the beginning of Stendhal's novel The Charterhouse of Parma.  George Osborne dies at this battle in William Thackeray's novel Vanity Fair.  For 10 points--name the 1815 battle at which coalition forces defeated Napoleon."
22,Sigmund_Freud,"This author described a man making three inconsistent defenses about damaging his neighbor's property to exemplify ""kettle logic.""  This man discussed body doubles in an essay which relates a feeling of ""the Uncanny"" to a ""return of the repressed.""  In 1899 he wrote about the manifest and latent content of the ""royal road to the unconscious.""  For 10 points--name the Austrian psychologist who wrote The Interpretation of Dreams."
23,Magnetic_domain,"This behavior arises from double exchange between the components of Heusler alloys.  This behavior can be modeled by applying the mean field approximation to a multi-dimensional Ising model.  Because domains tend to retain parallel alignment below the Curie temperature, this behavior can exist without an external magnetic field.  For 10 points--name the permanent form of magnetism exhibited by materials like iron."
24,Snake,"Erpeton tentaculatum, a fully aquatic species of these animals, uses tentacle-like sensory organs to catch fish.  An invasive example of these carnivores has decimated mammal populations in Florida, resulting in an annual hunt to reduce their numbers.  Another variety of these animals expands its ""hood"" when in danger.  For 10 points--name these legless reptiles, among which are the king cobra and the Burmese python."
25,The_Last_Battle,"Deaths in this novel are discussed by Greta and Professor Hastings in Neil Gaiman's story ""The Problem of Susan.""  At the beginning of this novel, the ape Shift convinces a donkey to dress in the skin of a lion.  A train crash kills Digory Kirke and most of the Pevensies in this novel, which ends as the faithful enter Aslan's country.  For 10 points--name the last book in C. S. Lewis's Chronicles of Narnia."
26,Benjamin_Britten,"In an opera by this composer, the title character is dared by Kate Julian to spend a night in a haunted room at Paramore, then is found dead.  This composer wrote Owen Wingrave and an opera whose title character sings ""Starry Vere, God bless you!"", Billy Budd.  The Four Sea Interludes appear in--for 10 points--what English composer's tragic opera about a Suffolk fisherman, Peter Grimes?"
27,Drake_equation,"Sara Seager modified this statement to focus only on certain objects with particular biosignature gases.  Some cosmologists propose adding a ""reappearance factor"" to this equation, whose other seven factors include the rate of star creation, denoted R|*| [""R sub star""].  This equation gives rise to the Fermi paradox.  For 10 points--what equation is used by SETI to estimate the number of extraterrestrial civilizations in the Milky Way?"
28,To_an_Athlete_Dying_Young,"This poem's title character is told to set his foot ""on the sill of shade.""  The speaker of this poem notes that ""early though the laurel grows / it withers quicker than the rose,"" and describes the title character as a ""townsman of a stiller town.""  A character once ""chaired through the market-place"" leaves the ""fields where glory does not stay"" in--for 10 points--what A. E. Housman poem, about a runner who has passed away?"
29,Mewtwo,"In a 1998 movie, this character realizes that ""it is what you do with the gift of life that determines who you are.""  In a 2016 game set in the Ferrum Region, the player first encounters a ""Shadow"" version of this character after winning the Green League.  This character, who was birthed in a laboratory in a Cinnabar Island mansion, is entry 150 in the Pok\'edex.  For 10 points--name this genetically engineered psychic Pok\'emon."
30,Indonesia,"In this country, half a million suspected Communists were killed in a 1965 purge that ended its policy combining communism with nationalism and religion, called ""Nasakom.""  In the 1950s its government adopted single-party ""Guided Democracy"" and promoted the political philosophy of Pancasila [pan-chuh-SEE-luh].  In 1975 this former Dutch colony occupied East Timor.  For 10 points--name the country led by Sukarno and Suharto [soo-HAR-toh]."
31,The_Decameron,"This book inspired a 72-part response by the sister of France's Charles I, Marguerite of Navarre [nuh-VAR].  John Keats's poem ""Isabella, or the Pot of Basil"" draws on this book.  Characters in this book take turns serving as ""kings"" and ""queens.""  It ends with a tale in which Gualtieri pretends to kill his children to test the patience of Griselda.  Plague refugees narrate--for 10 points--what collection by Giovanni Boccaccio [joh-VAH-nee boh-KAH-choh]?"
32,Lima,"This city is the site of the Miraflores shopping district.  This city surrounds the seaport of Callao [kah-YAO], where merchants exported silver from the South American interior during the 17th century.  This capital contains the oldest university in the Americas, the National University of San Marcos, of which Mario Vargas Llosa is an alumnus.  It was founded in 1535 by Francisco Pizarro.  For 10 points--name the capital of Peru."
33,Cannibalism,"An 1857 George Fitzhugh book accuses ""all"" people of doing this, saying capitalism causes the ""moral"" version of this action.  Marvin Harris tied this act to wealth in a book named for its practitioners ""and kings.""  The disease kuru spread among Papua New Guinea's Fore people because of a mortuary custom involving this action.  Members of the Donner Party resorted to--for 10 points--what act, in which humans eat other humans?"
34,Cloud,"In a poem about one of these objects, it ""silently laugh[s]"" at its ""own cenotaph"" and is said to ""bind the Sun's throne with a burning zone.""  Percy Shelley wrote that it was the ""nursling of the Sky."" A poem partly titled for these non-botanical objects refers to the ""inward eye / which is the bliss of solitude.""  A ""host"" of ""golden daffodils"" was seen by William Wordsworth when he ""wandered lonely as""--for 10 points--what fluffy object?"
35,Prince_Henry_the_Navigator,"This man hired the Majorcan converso Mestre Jacome to teach at his semi-mythical academy at Sagres [SAH-grace].  He lost his brother Ferdinand to a failed invasion of Tangier [tan-JEER].  Under his patronage, mariners traveled around Cape Bojador for the first time and discovered the Azores [AY-zorz].  For 10 points--name this 15th-century Portuguese prince, who never became king and instead patronized exploration."
36,Pre-Raphaelite_Brotherhood,"An artist in this movement painted a blue serpent menacing a nude, rear-facing Andromeda in part of the Perseus Cycle.  Another of its artists showed a young Jesus kissing Mary's cheek in a workroom in Christ in the House of His Parents, and painted flowers floating by a drowning Ophelia.  Edward Burne-Jones and John Everett Millais belonged to--for 10 points--what 19th-century British ""brotherhood""?"
37,FIFA,"In 2012 the Garcia Report was issued about this organization.  It contributed $10 million to a ""Diaspora Legacy Programme Fund"" controlled by a Trinidadian member of its executive committee, Jack Warner.  In May 2015 seven of its members were arrested in Zurich [ZOO-rik], some accused of taking bribes to vote for South Africa and Qatar [KAHT-tar].  Sepp Blatter stepped down as president of--for 10 points--what body, which governs world soccer?"
38,Ketone,"This group is the namesake of three byproducts of fatty acid breakdown made by the liver in absence of glucose.  Compounds with this functional group can undergo tautomerization in acidic or basic conditions to form enols [EE-nawlz].  A negative result in Tollens' test indicates these compounds, which consist of two R-groups flanking a carbonyl.  Aldehydes are contrasted with--for 10 points--what functional group, found in acetone [AA-suh-tohn]?"
39,Thanatos,"This god once wrestled Heracles after he was tasked with retrieving the soul of Alcestis [al-SESS-tusS].  Along with the personification of sleep, this god was responsible for transporting the slain Sarpedon from Troy to Lycia [LISS-ee-uh].  Ares became enraged after this twin brother of Hypnos was put into a sack by a King of Corinth [""CORE""-inth].  Sisyphus twice cheated--for 10 points--what Greek god, who personified peaceful death?"
40,Spain,"In this country, pilgrims pick up scallop shells while traveling along the French Way.  This country is the site of the mountain monastery Montserrat.  Its patron saint is the apostle James the Great, who is buried in its northwestern region of Galicia [guh-LIH-shee-uh].  Its capital is near a combined monastery and royal palace called El Escorial [es-kor-ee-AHL].  For 10 points--name the country that contains the Sagrada Fam\'ilia in Barcelona."
41,New_Hampshire,"In colonial times, this state's Royal Governor was targeted by Gove's Rebellion in 1683.  The Great Depression forced the closing of this state's Amoskeag Manufacturing Company, a large textile plant.  Before serving as a Massachusetts senator, Daniel Webster was a congressman from this state.  From 1837 to 1842 Franklin Pierce was a U.S. senator from--for 10 points--what state, whose capital is Concord?"
42,Speed_of_light,"This constant appears in the energy-momentum relation of a massless particle, and energy is divided by it in the zeroth component of four-momentum.  Dividing energy flux by this quantity gives the radiation pressure on an object.  This is the denominator of relativistic beta, whose numerator is an object's velocity.  Lengths contract to zero near--for 10 points--what value, equal to about 300 million meters per second?"
43,Merovingian_dynasty,"According to legend, this dynasty was descended from a sea monster called the Quinotaur [KWIN-uh-tor].  Kings of this dynasty traditionally grew long hair, according to Gregory of Tours [""tour""].  After winning the Battle of Vouill\'e against the Visigoths, this dynasty conquered Aquitaine in AD 507.  In the 5th century Clovis I united most of Gaul under--for 10 points--what Frankish dynasty, which preceded the Carolingians [""care""-uh-LIN-jee-unz]?"
44,Cat's_Cradle,"A character in this novel marries a 42-year-old dancer of the Borzoi Dance Company, a Ukrainian dwarf named Zinka.  The narrator of this novel emulates Moby-Dick by opening with the phrase ""call me Jonah.""  This novel is interspersed with religious passages called ""Calypsos.""  The San Lorenzan dictator ""Papa"" Monzano, a secret Bokononist [BOH-koh-nohn-ist], dies by coming into contact with ""ice-nine"" in--for 10 points--what novel by Kurt Vonnegut?"
45,Poisson_distribution,"This distribution is the limit of the binomial distribution on n and p as n becomes infinite while n times p approaches a constant.  It models intermittent arrival times, such as the death-by-horse-kick of Prussian soldiers.  This discrete distribution has a single parameter that is both its mean and its variance, traditionally denoted lambda.  For 10 points--identify this distribution named for a French mathematician."
46,Dwyane_Wade,"In 2007 this man became the first player to win multiple NBA All-Star Weekend Skills Challenges; he also led the league in player efficiency rating that season.  In the 2013-2014 season, this man's team rested him for back-to-back games en route to reaching its fourth straight NBA Finals, which it lost to the Spurs.  For 10 points--name the guard who, in 2010, was joined by Chris Bosh and LeBron James on the Miami Heat."
47,University_of_Pennsylvania,"While working at this university, Aaron Beck developed cognitive therapy.  The ""Brinster method"" of embryo research was discovered at this school, where Martin Seligman's ""learned helplessness"" experiments took place.  John Mauchly's team built ENIAC [EE-nee-ack], the first true computer, at this university, where Lawrence Klein devised the ""Wharton model"" of economic forecasting.  For 10 points--what Ivy League school is in Philadelphia?"
48,The_Crucible,"A 2016 Broadway revival of this play at the Walter Kerr theater uses a giant chalkboard as its backdrop.  In this play, a minister who left a ""thrifty business in Barbados to serve the Lord"" utters the lament ""why am I persecuted here?""  Girls dancing in the forest--including the slave Tituba [TITCH-yoo-buh]--are seen by the reverend Samuel Parris in this play.  For 10 points--name this play by Arthur Miller, about the Salem witch trials."
49,Huntington's_disease,"This disorder causes early atrophy of the caudate nucleus.  Its ""Westphal"" variant progresses unusually quickly and causes rigidity in addition to its typical psychosis and lack of coordination.  It occurs when chromosome 4 has too many CAG repeats, and is a rare example of a disease that is both fatal and autosomal dominant.  Woody Guthrie died of--for 10 points--what degenerative disease, which causes a namesake chorea [koh-REE-uh]?"
50,Wounded_Knee_Massacre,"Nine days after this event, Lieutenant Edward W. Casey was killed by Plenty Horses when Casey went to the village of No Water to discuss peace.  This event began when James W. Forsyth ordered the surrender of all weapons, an order with which the deaf Black Coyote did not comply.  Chief Spotted Elk was killed during--for 10 points--what event, the 1890 massacre of over 200 Lakota Sioux at a reservation in South Dakota?"
51,John_Donne,"This man wrote of ""how lame a cripple"" the world is in his memorial poem for Elizabeth Drury, ""An Anatomy of the World.""  This man, who wished to be his lover's corset in ""To His Mistress Going to Bed,"" prayed that a holy being ""break, blow, burn"" and make him new in a third poem. ""Batter my heart, three-person'd god"" is by--for 10 points--what English metaphysical poet, who included ""Death, be not proud"" in his Holy Sonnets?"
52,Inertia,"A precursor to the classical understanding of this property was Avicenna's mayl [""mail""], which concerned projectiles.  Jean Buridan presaged the description of this property with his theory of impetus.  Aristotle had a flawed understanding of this concept, believing that moving things must always come to rest.  For 10 points--name this property, described in Newton's first law as an object's tendency to resist changes in motion."
53,Iconoclasm,"St. Stephen the Younger was martyred for his opposition to this policy, the central focus of the Council of Hieria.  Khan Krum's military success led Leo V to place a cross over the Chalke Gate, a symbol of his endorsement of this policy.  This doctrine was reversed by Empress Irene at the Second Council of Nicaea [nye-SEE-uh].  For 10 points--name the doctrine that sought to eliminate the depiction of religious figures."
54,Oregon,"In this state, Cylvia Hayes admitted to a ""marriage of convenience"" for a green card and consulted for energy firms while its first lady.  In 2015 in this state Emily Brown became the country's first openly bisexual governor, after John Kitzhaber resigned due to a story broken by an alternative newspaper. Ron Wyden is a senator from--for 10 points--what state, where the Willamette Week is published in Portland?"
55,Andrew_Wyeth,"Several of this painter's works, such as Groundhog Day, depict the Kuerner family.  In 1986 Leonard Andrews bought most of this artist's set of paintings that included Braids, The Prussian, and Letting Her Hair Down, and depicted his neighbor's nurse.  This artist also painted a polio-stricken girl in a pink dress on a field.  For 10 points--name the creator of paintings of Helga Testorf, and of Christina's World."
56,Book_of_Deuteronomy,"In the Gospel of Mark, Jesus labels a verse from this book ""the first commandment of all""; that verse from this book is the Sh'ma.  This book's account of the ascent of Mount Nebo before the conquest of Canaan contains the Song of Moses.  A namesake ""code"" comprises much of this book, whose name is derived from the Greek for ""second law.""  For 10 points--name the book in which Moses dies, the fifth and final book of the Torah."
57,Fish,"These animals were eaten by Spinosaurus using a long snout; they also make up most of the diet of bulldog bats.  Puffin bills are specialized to enable the collection of large quantities of these organisms.  Spicules on the toes of ospreys help capture these animals.  Chum, used as bait, consists of the remains of these animals.  For 10 points--name these aquatic organisms that are eaten by piscivores and have scales."
58,Warren_Buffett,"This man partnered with the Brazilian equity firm 3G Capital to merge Heinz and Kraft Foods.  In June 2015 a Chinese gaming company won an annual charity auction to have lunch with this business partner of Charlie Munger.  He claimed the ""mega-rich"" had been ""coddled"" by Congress when proposing a 30% tax rate for millionaires, his namesake ""rule.""  For 10 points--what man, nicknamed the ""Oracle of Omaha,"" runs Berkshire Hathaway?"
59,Henry_Morton_Stanley,"This man explored the Malebo Pool, which was formerly named after him, three years before his rival Pierre de Brazza reached the area.  A city named after this explorer was renamed Kisangani by Mobutu Sese Seko [moh-BOO-too SAY-see SAY-koh].  This man founded the city that is now Kinshasa and claimed the whole Congo basin for Leopold II of Belgium.  For 10 points--name the Welsh explorer who asked ""Dr. Livingstone, I presume?"" in 1871."
60,Treaty_of_Versailles,"This document provided for the destruction of breakwaters and fortifications on Heligoland [HEL-ee-goh-""land""].  Under the text of this document, the ""Soldau area"" was exempt from plebiscite, and Belgium received the region of Eupen-Malmedy [OY-pen MAHL-muh-dee].  Article 231 of this document, the so-called ""war guilt clause,"" was the basis for 132 billion marks of reparations.  For 10 points--what peace treaty, between the Allies and Germany, concluded World War I?"
61,The_Big_Short_(film),"In this film Anthony Bourdain has a cameo making stew with three-day-old halibut; in another cameo, Selena Gomez loses at blackjack.  In this film Ben Rickert scolds Charlie and Jamie for dancing after they bet against double-A-rated tranches.  This 2015 film was based on a book by Michael Lewis.  For 10 points--in what film does Christian Bale play a hedge fund manager who predicts the collapse of the housing market?"
62,Brady_Handgun_Violence_Prevention_Act,"Some parts of this law were ruled unconstitutional as ""commandeering"" of state governments in the case Printz v. U.S..  This law, which was introduced by Chuck Schumer, called for creation of a national criminal background check system and imposed a five-day waiting period.  For 10 points--what gun violence prevention act was named for Ronald Reagan's press secretary, who was shot by John Hinckley Jr.?"
63,Brown_dwarf,"Luhman 16 is the closest binary system composed of two of this kind of star.  A major source of energy for these objects is the Kelvin-Helmholtz mechanism, which may be supplemented by deuterium and lithium burning.  These objects are larger than gas giant planets, but are below red dwarfs on the H-R diagram.  For 10 points--what ""stillborn"" substellar objects don't have enough mass to fuse hydrogen?"
64,"Nashville,_Tennessee","In this city, the ruins of Fort Negley overlook a revitalized industrial neighborhood called The Gulch.  Its Lower Broadway District contains the AT&amp;T Tower, also called the ""Batman Building.""  RCA Studio B is part of its Music Row District, though the Country Music Hall of Fame moved downtown to a site near Ryman Auditorium, the home of the Grand Ole Opry.  For 10 points--name the capital of Tennessee."
65,Phillips_curve,"Irving Fisher wrote a 1973 paper claiming credit for ""discovering"" this concept.  The argument that this graph takes a different shape in the long run was advanced by Milton Friedman and Edmund Phelps.  The NAIRU hypothesis builds off that work to argue that, in the long term, this curve resembles a vertical line.  For 10 points--what economic curve shows an inverse relationship between unemployment and inflation?"
66,Candide,"While sailing from Buenos Aires, this man and his valet meet a cynical Manichean scholar named Martin.  He piles red-wooled sheep high with diamonds stolen from El Dorado, which are all eventually lost.  After being exiled from Castle Thunder-ten-Tronckh in Westphalia, this man survives the Lisbon earthquake.  For 10 points--name the lover of Cun\'egonde and student of Dr. Pangloss who titles a satire by Voltaire."
67,Nicaragua,"In 1909 U.S. Marines arrived in this country at Bluefields to overthrow Jos\'e Santos Zelaya [zeh-LYE-uh].  Controversy over the sale of blood plasma at this country's ""house of the vampires"" led to the assassination of publisher Pedro Chamorro.  The Boland Amendment prohibited U.S. assistance to rebels in this country, where the Somoza family was overthrown by the Sandinistas.  For 10 points--name the country now led by Daniel Ortega."
68,Methyl_group,"Addition of this chemical moiety to an amine drives the Hofmann elimination.  In the poison that killed Karen Wetterhahn when it seeped through her glove, two of these groups are bonded to mercury.  Epigenetics is the study of the addition of this group at CpG sites in DNA.  Adding one of these groups to benzene yields toluene [TAHL-yoo-een].  For 10 points--name the functional group formed by removing a hydrogen from methane."
