word,evidence,final,question,weight,sentence,page
43,"{'confidence': -0.09985805746111111, 'final': True}",True,105,-0.10,1,"BERT (language model), Knowledge Graph Attention Network"
7,"{'confidence': -0.09632136464338749, 'final': True}",True,105,-0.10,2,"BERT (language model), ERNIE (language model)"
14,"{'confidence': -0.0193894690062, 'final': True}",True,105,-0.02,2,BERT (language model)
20,"{'confidence': -0.063853446383266, 'final': True}",True,105,-0.06,2,BERT (language model)
25,"{'confidence': -0.06447214801426601, 'final': True}",True,105,-0.06,2,BERT (language model)
33,"{'confidence': -0.04729948773613, 'final': True}",True,105,-0.05,2,BERT (language model)
36,"{'confidence': -0.33256929813186004, 'final': False}",False,105,-0.33,2,Bert (character)
7,"{'confidence': -0.13862134371093, 'final': True}",True,105,-0.14,3,Bert and Ernie
13,"{'confidence': -0.3387216333852222, 'final': False}",False,105,-0.34,3,List of characters in It's a Wonderful Life
20,"{'confidence': -0.001424137892, 'final': True}",True,105,-0.00,3,Bert and Ernie
25,"{'confidence': -0.0061023290225300005, 'final': True}",True,105,-0.01,3,Bert and Ernie
31,"{'confidence': -0.002612346686, 'final': True}",True,105,-0.00,3,Bert and Ernie
7,"{'confidence': -2.6397614e-05, 'final': True}",True,105,-0.00,4,Bert and Ernie
13,"{'confidence': -0.00039236838739999997, 'final': True}",True,105,-0.00,4,Bert and Ernie
18,"{'confidence': -0.000298864837666, 'final': True}",True,105,-0.00,4,Bert and Ernie
23,"{'confidence': -0.00046925430192999994, 'final': True}",True,105,-0.00,4,Bert and Ernie
30,"{'confidence': -0.0018145792032660001, 'final': True}",True,105,-0.00,4,Bert and Ernie
33,"{'confidence': -0.00081409679273, 'final': True}",True,105,-0.00,4,Bert and Ernie
33,"{'confidence': -0.00081409679273, 'final': True}",True,105,-0.00,4,Bert and Ernie
5,"{'confidence': -0.373656396975, 'final': False}",False,106,-0.37,0,Functional programming
10,"{'confidence': -0.01972681466925, 'final': False}",False,106,-0.02,0,Java (programming language)
15,"{'confidence': -0.19645340674728165, 'final': False}",False,106,-0.20,0,Janus (programming language)
16,"{'confidence': -0.6399151272503499, 'final': False}",False,106,-0.64,0,Scripting
1,"{'confidence': -0.674652485, 'final': False}",False,106,-0.67,1,Programming paradigm
6,"{'confidence': -0.16079911798031, 'final': True}",True,106,-0.16,2,Python (programming language)
13,"{'confidence': -0.3982114074474125, 'final': False}",False,106,-0.40,2,Computational linguistics
18,"{'confidence': -0.51057206, 'final': False}",False,106,-0.51,2,Machine learning
21,"{'confidence': -0.7308717299999999, 'final': False}",False,106,-0.73,2,Programming paradigm
27,"{'confidence': -0.41034125299999996, 'final': False}",False,106,-0.41,2,Machine learning
35,"{'confidence': -0.18996860200000001, 'final': True}",True,106,-0.19,2,Machine learning
37,"{'confidence': -0.225682517, 'final': False}",False,106,-0.23,2,Machine learning
6,"{'confidence': -0.24250651863000003, 'final': False}",False,106,-0.24,3,Natural language processing
7,"{'confidence': -0.3275483651666667, 'final': False}",False,106,-0.33,4,Natural language processing
9,"{'confidence': -0.08194194649603427, 'final': True}",True,106,-0.08,4,Fine-tuning (machine learning)
9,"{'confidence': -0.08194194649603427, 'final': True}",True,106,-0.08,4,Fine-tuning (machine learning)
